Postcode,Locality,State,Longitude,Latitude,SA3,SA3 Name,SA4,SA4 Name,Region
3976,HAMPTON PARK,VIC,145.264296,-38.043995,21203.0,Casey - South,212.0,Melbourne - South East,R1
3978,CARDINIA,VIC,145.38460600000002,-38.135009000000004,21203.0,Casey - South,212.0,Melbourne - South East,R3
3978,CLYDE,VIC,145.38460600000002,-38.135009000000004,21203.0,Casey - South,212.0,Melbourne - South East,R3
3978,CLYDE NORTH,VIC,145.38460600000002,-38.135009000000004,21203.0,Casey - South,212.0,Melbourne - South East,R3
3980,BLIND BIGHT,VIC,145.35693700000002,-38.204448,21203.0,Casey - South,212.0,Melbourne - South East,R3
3980,TOORADIN,VIC,145.35693700000002,-38.204448,21203.0,Casey - South,212.0,Melbourne - South East,R3
3980,WARNEET,VIC,145.35693700000002,-38.204448,21203.0,Casey - South,212.0,Melbourne - South East,R3
3981,BAYLES,VIC,145.575,-38.207298,21201.0,Cardinia,212.0,Melbourne - South East,R3
3981,CATANI,VIC,145.575,-38.207298,21201.0,Cardinia,212.0,Melbourne - South East,R3
3981,DALMORE,VIC,145.575,-38.207298,21201.0,Cardinia,212.0,Melbourne - South East,R3
3981,HEATH HILL,VIC,145.575,-38.207298,21201.0,Cardinia,212.0,Melbourne - South East,R3
3981,KOO WEE RUP,VIC,145.575,-38.207298,21201.0,Cardinia,212.0,Melbourne - South East,R3
3981,KOO WEE RUP NORTH,VIC,145.575,-38.207298,21201.0,Cardinia,212.0,Melbourne - South East,R3
3981,YANNATHAN,VIC,145.575,-38.207298,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,ADAMS ESTATE,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,CALDERMEADE,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,CORINELLA,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,CORONET BAY,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,GRANTVILLE,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,JAM JERRUP,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,LANG LANG,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,LANG LANG EAST,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,MONOMEITH,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,PIONEER BAY,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,QUEENSFERRY,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,TENBY POINT,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3984,THE GURDIES,VIC,145.56397900000002,-38.312647,21201.0,Cardinia,212.0,Melbourne - South East,R3
3987,NYORA,VIC,145.689142,-38.309048,21201.0,Cardinia,212.0,Melbourne - South East,R3
