year,lga,crime_rate
2017,Knox,7481
2017,Macedon Ranges,4588
2017,Manningham,4179
2017,Maribyrnong,9720
2017,Maroondah,7672
2017,Melbourne,23208
2017,Melton,7500
2017,Mitchell,10679
2017,Monash,5951
2017,Moonee Valley,7520
2017,Moorabool,7514
2017,Moreland,7863
2017,Murrindindi,4714
2017,Nillumbik,4246
2017,Port Phillip,12308
2017,Stonnington,9521
2017,Whitehorse,4931
2017,Whittlesea,7473
2017,Wyndham,6110
2017,Yarra,13990
2017,Yarra Ranges,5444
2018,Banyule,7438
2018,Bass Coast,6142
2018,Baw Baw,7840
2018,Bayside,4508
2018,Boroondara,3777
2018,Brimbank,8826
2018,Cardinia,5448
2018,Casey,5923
2018,Darebin,9079
2018,Glen Eira,4254
2018,Greater Dandenong,11049
2018,Greater Geelong,8564
2018,Hobsons Bay,6247
2018,Hume,9008
2018,Kingston,6440
2018,Knox,6955
2018,Macedon Ranges,4246
2018,Manningham,3750
2018,Maribyrnong,9076
2018,Maroondah,6769
2018,Melbourne,22016
2018,Melton,6879
2018,Mitchell,9934
2018,Monash,5358
2018,Moonee Valley,6908
2018,Moorabool,6722
2018,Moreland,7524
2018,Murrindindi,5049
2018,Nillumbik,3379
2018,Port Phillip,11362
2018,Stonnington,9073
2018,Whitehorse,4613
2018,Whittlesea,6897
2018,Wyndham,5496
2018,Yarra,13988
2018,Yarra Ranges,4978
2019,Banyule,6963
2019,Bass Coast,6740
2019,Baw Baw,8835
2019,Bayside,4532
2019,Boroondara,3966
2019,Brimbank,8940
2019,Cardinia,5716
2019,Casey,6077
2019,Darebin,8868
2019,Glen Eira,4269
2019,Greater Dandenong,10769
2019,Greater Geelong,8006
2019,Hobsons Bay,6408
2019,Hume,9021
2019,Kingston,7010
2019,Knox,6713
2019,Macedon Ranges,4969
2019,Manningham,3700
2019,Maribyrnong,8855
2019,Maroondah,6956
2019,Melbourne,19131
2019,Melton,6831
2019,Mitchell,9815
2019,Monash,5200
2019,Moonee Valley,6060
2019,Moorabool,6339
2019,Moreland,7671
2019,Murrindindi,5065
2019,Nillumbik,3301
2019,Port Phillip,10676
2019,Stonnington,8943
2019,Whitehorse,4798
2019,Whittlesea,6966
2019,Wyndham,5666
2019,Yarra,12983
2019,Yarra Ranges,5323
2020,Banyule,7327
2020,Bass Coast,7000
2020,Baw Baw,8781
2020,Bayside,5000
2020,Boroondara,4773
2020,Brimbank,9629
2020,Cardinia,6184
2020,Casey,6465
2020,Darebin,9144
2020,Glen Eira,5054
2020,Greater Dandenong,11142
2020,Greater Geelong,8628
2020,Hobsons Bay,6186
2020,Hume,8917
2020,Kingston,7237
2020,Knox,7330
2020,Macedon Ranges,4802
2020,Manningham,3675
2020,Maribyrnong,9815
2020,Maroondah,6688
2020,Melbourne,19054
2020,Melton,7778
2020,Mitchell,9787
2020,Monash,5934
2020,Moonee Valley,6521
2020,Moorabool,6167
2020,Moreland,7607
2020,Murrindindi,5716
2020,Nillumbik,3476
2020,Port Phillip,11116
2020,Stonnington,10227
2020,Whitehorse,5193
2020,Whittlesea,6986
2020,Wyndham,6188
2020,Yarra,13715
2020,Yarra Ranges,5452
